,osm_type,osm_id,internal_id,query,latlong_score,name_score,name_has_substring,categories_score,address_score,addr_has_substring,confidence
0,way,154470603,0x130e44cd6e20475f:0x671441b8dc03be60,Kalkara,0.005437296377917098,0.2,False,0.0,0.5,False,0.48498426783675525
1,node,5896564791,0x130e45014da2fa03:0xf743a120b9194c06,"Spar, Triq Tigné",2.810427013705709e-05,0.53,True,1.0,0.46,False,0.7819999268801038
2,node,2471609507,0x130e4501edfb329b:0x9edcdba888218c47,"Bayview Hotel & Apartments, The Strand 143, Sliema",0.0002806717834069169,0.3,False,1.0,0.59,False,0.6194991957236649
3,node,6222651588,0x130e450a6e7438bd:0x5af47e8f69212d52,"David Hardware Store, Triq Carlo Manche",2.3195258135684734e-05,1.0,False,0.22,0.32,False,0.7379999410911782
4,node,6635172974,0x130e451ad5f0c673:0x1973502978d5c025,"Chef Lee, Triq d'Argens",4.9848570692360205e-05,1.0,False,1.0,0.48,True,0.8739998639326362
5,relation,12634993,0x130e451d009c771d:0x1cf6ec5b812ebc75,"Consulate General of Austria, Vjal Sir Temi Zammit 8, XBX 1011, Ta' Xbiex",3.628162693178846e-05,0.83,False,1.0,0.75,False,0.7864999032075142
6,node,7442975758,0x130e451fb816909b:0xd8a592326a69a444,"111 Art Gallery, Triq il-Gnien 38/40, GZR1411, Gzira",1.502830662589469e-05,1.0,False,1.0,0.54,False,0.8269999647336456
7,way,532280196,0x130e4524d863accb:0x59b5320a6f75ae7b,Triq Tigné,0.0017449258879211013,0.15,False,0.0,0.32,False,0.46099495686173525
8,node,6762940584,0x130e4525313284cd:0x74fab348121af42f,"HB mini market, Mattew Pulis Street, Sliema",0.00025514862335208427,0.62,True,0.24,0.75,False,0.747499269610534
9,way,339461449,0x130e4525391b83bd:0x8e64cfd286b0304a,"Rocca Nettuno Suites, Mattew Pulis Street, SLM 3052, Sliema",0.00013065754894441258,0.82,True,0.84,0.88,False,0.8739996299991266
10,node,4520210790,0x130e4525449b1c9b:0xc30141cdbc076c0b,"Bonavia Offset Printers, Ix-Xatt ta' Tigné",0.00012100037190030135,1.0,False,0.27,0.31,False,0.7424996579556404
11,node,6652710861,0x130e45256229dd63:0xba4f9dfa3c3a1be5,"Balance Bowl, Triq Ix-Xatt 182",7.675708436607626e-05,1.0,False,1.0,0.57,False,0.8284997860353137
